r;s;rhat;p;k;duration;bitsize
20000;40000;40000;0.4400000000000001;1;1.0708122253417969;233104
20000;40000;40000;0.46000000000000013;1;1.0606870651245117;231472
20000;40000;40000;0.48000000000000015;1;1.4336848258972168;230784
20000;40000;40000;0.5000000000000001;1;1.2781281471252441;229544
20000;40000;40000;0.5200000000000001;1;1.333456039428711;229968
20000;40000;40000;0.5400000000000001;1;1.462585210800171;228048
20000;40000;40000;0.5600000000000002;1;1.2862520217895508;229312
20000;40000;40000;0.5800000000000002;1;1.300797939300537;230872
20000;40000;60000;0.02;1;1.581139326095581;575728
20000;40000;60000;0.04;1;1.6285929679870605;528096
20000;40000;60000;0.06;1;2.0600497722625732;499240
20000;40000;60000;0.08;1;1.8163480758666992;476040
20000;40000;60000;0.12000000000000001;1;1.5741608142852783;445120
20000;40000;60000;0.14;1;1.6592991352081299;433240
20000;40000;60000;0.1;1;1.8907251358032227;458168
20000;40000;60000;0.16;1;2.097675085067749;421992
20000;40000;60000;0.19999999999999998;1;2.115453004837036;406168
20000;40000;60000;0.18;1;2.136786937713623;413848
20000;40000;60000;0.21999999999999997;1;1.4717090129852295;398680
20000;40000;60000;0.23999999999999996;1;1.8428831100463867;391480
20000;40000;60000;0.25999999999999995;1;1.880094051361084;383528
20000;40000;60000;0.27999999999999997;1;1.8423290252685547;380136
20000;40000;60000;0.3;1;1.7701101303100586;374824
20000;40000;60000;0.32;1;1.7704062461853027;369264
20000;40000;60000;0.36000000000000004;1;1.606767177581787;360584
20000;40000;60000;0.34;1;1.8271327018737793;364840
20000;40000;60000;0.38000000000000006;1;2.101206064224243;357776
20000;40000;60000;0.4200000000000001;1;1.7745189666748047;351104
20000;40000;60000;0.4000000000000001;1;1.7629508972167969;354536
20000;40000;60000;0.4400000000000001;1;1.9757969379425049;349944
20000;40000;60000;0.46000000000000013;1;2.1265130043029785;346296
20000;40000;60000;0.48000000000000015;1;1.95396089553833;345920
20000;40000;60000;0.5000000000000001;1;2.2196240425109863;344568
20000;40000;60000;0.5200000000000001;1;2.065455198287964;343960
20000;40000;60000;0.5600000000000002;1;2.3486080169677734;344664
20000;40000;80000;0.02;1;1.9451560974121094;770808
20000;40000;60000;0.5800000000000002;1;2.3379619121551514;345088
20000;40000;80000;0.04;1;2.2122108936309814;703672
20000;40000;60000;0.5400000000000001;1;2.2554469108581543;343496
20000;40000;80000;0.06;1;2.63871169090271;663744
20000;40000;80000;0.08;1;2.0361669063568115;636344
20000;40000;80000;0.1;1;2.257361888885498;612104
20000;40000;80000;0.12000000000000001;1;2.197157144546509;594208
20000;40000;80000;0.14;1;2.711918830871582;576472
20000;40000;80000;0.18;1;2.857553005218506;551976
20000;40000;80000;0.16;1;2.880413770675659;565552
20000;40000;80000;0.19999999999999998;1;2.834970235824585;541712
20000;40000;80000;0.21999999999999997;1;2.589735269546509;532168
20000;40000;80000;0.23999999999999996;1;2.7706809043884277;520520
20000;40000;80000;0.25999999999999995;1;2.9293510913848877;512864
20000;40000;80000;0.27999999999999997;1;2.539398193359375;506360
20000;40000;80000;0.3;1;2.626633882522583;500824
20000;40000;80000;0.32;1;2.3970627784729004;493288
20000;40000;80000;0.34;1;2.4810659885406494;487536
20000;40000;80000;0.36000000000000004;1;2.5265908241271973;482600
20000;40000;80000;0.38000000000000006;1;2.5024850368499756;477448
20000;40000;80000;0.4000000000000001;1;2.441473960876465;472360
20000;40000;80000;0.4200000000000001;1;2.4568159580230713;469264
20000;40000;80000;0.4400000000000001;1;2.433842182159424;465784
20000;40000;80000;0.46000000000000013;1;2.5541069507598877;462176
20000;40000;80000;0.48000000000000015;1;2.490834951400757;462688
20000;40000;80000;0.5000000000000001;1;2.487665891647339;459032
20000;40000;80000;0.5200000000000001;1;2.772634744644165;458952
